ID	label	region	name	name_full	hemi	color	key_L1	name_L1	key_L2	name_L2	key_L3	name_L3
154	cortex_rh_ERh	cortex	ERh	entorhinal_cortex (ERh)	rh	#43801D	138	Temporal_Lobe (Temporal)	139	medial_temporal_lobe (MTL)	153	rhinal_cortex (Rh)
160	cortex_rh_PRh	cortex	PRh	perirhinal_cortex (PRh)	rh	#D5FF8C	138	Temporal_Lobe (Temporal)	139	medial_temporal_lobe (MTL)	153	rhinal_cortex (Rh)
166	cortex_rh_TGa	cortex	TGa	agranular_temporal_pole (TGa)	rh	#6C801D	138	Temporal_Lobe (Temporal)	165	temporal_pole (TG)	165	temporal_pole (TG)
167	cortex_rh_TGg/TGd	cortex	TGg/TGd	granular_and_dysgranular_temporal_pole (TGg/TGd)	rh	#D7FF73	138	Temporal_Lobe (Temporal)	165	temporal_pole (TG)	165	temporal_pole (TG)
176	cortex_rh_TEO	cortex	TEO	area_TEO (TEO)	rh	#90FF00	138	Temporal_Lobe (Temporal)	175	inferior_temporal_cortex (ITC)	176	area_TEO (TEO)
178	cortex_rh_gyral_TE	cortex	gyral_TE	gyral_aspect_of_area_TE (gyral_TE)	rh	#98D431	138	Temporal_Lobe (Temporal)	175	inferior_temporal_cortex (ITC)	177	area_TE (TE)
185	cortex_rh_TE_in_STSv	cortex	TE_in_STSv	area_TE_in_the_ventral_STS (TE_in_STSv)	rh	#B8E600	138	Temporal_Lobe (Temporal)	175	inferior_temporal_cortex (ITC)	177	area_TE (TE)
188	cortex_rh_STSf	cortex	STSf	fundus_of_the_superior_temporal_sulcus (STSf)	rh	#807D39	138	Temporal_Lobe (Temporal)	175	inferior_temporal_cortex (ITC)	188	fundus_of_the_superior_temporal_sulcus (STSf)
195	cortex_rh_STSd	cortex	STSd	dorsal_bank_of_the_superior_temporal_sulcus (STSd)	rh	#FFCC00	138	Temporal_Lobe (Temporal)	193	superior_temporal_region (STG/STSd)	194	rostral_superior_temporal_region (STGr/STSd)
198	cortex_rh_STGr	cortex	STGr	rostral_superior_temporal_gyrus (STGr)	rh	#80531D	138	Temporal_Lobe (Temporal)	193	superior_temporal_region (STG/STSd)	194	rostral_superior_temporal_region (STGr/STSd)
